Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
ABACUS PHARMA (AFRICA) LIMITED,NDA/PRE/EXT/10092,External/Annex Store,\N,KAWEMPE,KAWEMPE,294,Human,Kampala,Kampala Extra - Akamwesi
DELMAW ENTERPRISES LIMITED,NDA/PRE/EXT/10165,External/Annex Store,\N,5TH STREET,5TH STREET,1619,Human,Kampala,Kampala Extra - Akamwesi
DAAF WORLD SERVICES LIMITED,NDA/PRE/EXT/10191,External/Annex Store,\N,KYEBANDO,,1751,Human,Kampala,Kampala Extra - Akamwesi
NATIONAL MEDICAL STORES,NDA/PRE/EXT/10198,External/Annex Store,\N,PLOT 261,OFF MIRZA ROAD,487,Human,Wakiso,Kampala Extra - Akamwesi
MEDECINS SANS FRONTIERES,NDA/PRE/EXT/10310,External/Annex Store,\N,"PLOT 2, OSU CRESCENT, WEST VILLAGE",second street,1104,Human,Kasese,South Western Region - Mbarara
VET CENTRE UGANDA LIMITED,NDA/PRE/EXT/10470,External/Annex Store,\N,Kaaro Saco Building,NJOBE RD,725,Human,Kampala,Kampala Extra - Akamwesi
PHARMA MART LIMITED,NDA/PRE/EXT/10488,External/Annex Store,\N,OPP HWANSUNG FURNITURE INDUSTRY,AT UHMG UPPER WAREH'SE,1060,Human,Kampala,Kampala Extra - Akamwesi
MEDVIN PHARMA LIMITED,NDA/PRE/EXT/10496,External/Annex Store,\N,"Plot 106A, Opoya Complex, Iganga",VIctor House,633,Human,Kampala,Kampala Extra - Akamwesi
CIPLA Quality Chemicals Industries Ltd,NDA/PRE/EXT/1892,External/Annex Store,\N,Plot M502 Ntinda Industrial Area,Kyambogo Rd,503,Human,Kampala,Kampala Extra - Akamwesi
MAKERERE UNIVERSITY / WALTER REED PROJECT LIMITED,NDA/PRE/EXT/1894,External/Annex Store,\N,Plot 42 Kampala,Nakasero Rd,810,Human,Kampala,Kampala Extra - Akamwesi
METRALCO PHARMACY LTD - Mbale,NDA/PRE/EXT/1925,External/Annex Store,\N,PLOT NO. 29,REPUBLIC STREET,344,Human,Mbale,Eastern Region - Tororo
Medical Access (U) Ltd,NDA/PRE/EXT/2010,External/Annex Store,\N,"PLOT 120, Block 250",Bunga-Ggaba Rd,310,Human,Kampala,Kampala Extra - Akamwesi
United Healthcare Distributors - Plot120,NDA/PRE/EXT/2028,External/Annex Store,\N,"Plot 120, Block 250",Bunga-Ggaba Road,310,Human,Kampala,Kampala Extra - Akamwesi
ABT STORAGE FACILITY - PMI VE'LINK - KIBUKU,NDA/PRE/EXT/2032,External/Annex Store,\N,BUSETA,SUB COUNTY HEADQUARTERS,NONE,Human,Kibuku,Eastern Region - Tororo
BEYOND LOGISTICS LTD,NDA/PRE/EXT/2056,External/Annex Store,\N,"Plot 1661, Kakajjo Zone, Bweyogerere",Link Rd,403,Human,Wakiso,Kampala Extra - Akamwesi
MEDVIN PHARMA LTD,NDA/PRE/EXT/2079,External/Annex Store,\N,PLOT 1,Wilson Rd,633,Human,Kampala,Central Regional Office - Masaka
KARURI PHARMACEUTICALS LTD,NDA/PRE/EXT/2080,External/Annex Store,\N,PLOT 264 NEXT TO GENTEX,NTINDA IND. AREA,445,Human,Kampala,Kampala Extra - Akamwesi
ABT Associates Inc-Namutumba HQ,NDA/PRE/EXT/2122,External/Annex Store,\N,District,ICT Headquaters,10/U/7219/PS,Human,Namutumba,South Eastern Region - Jinja
ABT Associates Inc-Works Department,NDA/PRE/EXT/2126,External/Annex Store,\N,Bugiri,Works Department,10/U/7219/PS,Human,Bugiri,South Eastern Region - Jinja
National Medical Stores - Vaccine store,NDA/PRE/EXT/2144,External/Annex Store,\N,Plot 4-12,Nsamizi Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
Dolphin Pharmaceuticals (U) Ltd,NDA/PRE/EXT/2145,External/Annex Store,\N,"Plot 17, Peoples Plaza",Bhatia Towers,547,Human,Kampala,Kampala Extra - Akamwesi
National Medical Store - Danida store,NDA/PRE/EXT/2146,External/Annex Store,\N,Plot 4-12,Nsamizi Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
National Medical Stores - Constra works,NDA/PRE/EXT/2147,External/Annex Store,\N,Plot 2-4,"1st street, Industrial Area",487,Human,Wakiso,Kampala Extra - Akamwesi
National Medical Stores - New lower &Upper,NDA/PRE/EXT/2148,External/Annex Store,\N,Plot 4-12,Nsamiz Rd,487,Human,Wakiso,Kampala Extra - Akamwesi
Norvik Enterprises Ltd,NDA/PRE/EXT/2251,External/Annex Store,\N,Plot 78/3,Bombo Road,342,Human,Kampala,Kampala Extra - Akamwesi
Kamcare Pharma Ltd,NDA/PRE/EXT/2253,External/Annex Store,\N,Behind eyecare Centre,Johnson Street,378,Human,Kampala,Kampala Extra - Akamwesi
SHURIK LTD,NDA/PRE/EXT/2288,External/Annex Store,\N,PLOT 51/2,Kampala Road,236,Human,Kampala,Kampala Extra - Akamwesi
Vrushik Investments (U) Ltd,NDA/PRE/EXT/2296,External/Annex Store,\N,"Plot 91/97, 7th Street",Industrial Area,602,Human,Kampala,Kampala Extra - Akamwesi
Nile services Ltd,NDA/PRE/EXT/2298,External/Annex Store,\N,Plot 11,Mbuya I Rd,803,Veretinary,Kampala,Kampala Extra - Akamwesi
Sinoafrica Medicines &Health Ltd,NDA/PRE/EXT/2348,External/Annex Store,\N,Plot 104-106A,"5th Street, Industrial Area",973,Human,Kampala,Kampala Extra - Akamwesi
Goodman International Ltd,NDA/PRE/EXT/2360,External/Annex Store,\N,"PLOT 24B, HALA PLAZA",Mulago Kaffero Zone Rd,294,Veretinary,Kampala,Kampala Extra - Akamwesi
ABACUS PHARMA (A) LIMITED,NDA/PRE/EXT/2361,External/Annex Store,\N,TITANIC PLAZA,Ben Kiwanuka Street,497,Human,Kampala,Kampala Extra - Akamwesi
ERAM UGANDA LIMITED,NDA/PRE/EXT/2387,External/Annex Store,\N,"PLOT 3 BAKULI, NEAR BAKULI TRAFFIC LIGHTS",NAMIREMBE RD,357,Veretinary,Kampala,Kampala Extra - Akamwesi
Royal Pharma 2011 Ltd,NDA/PRE/EXT/2388,External/Annex Store,\N,PLOT NO. 4B -,Wilson Rd,590,Human,Kampala,Kampala Extra - Akamwesi
HEALTH CARE PHARMACY LTD,NDA/PRE/EXT/2412,External/Annex Store,\N,PLOT N. 09,NABOA RD,1274,Human,Mbale,Eastern Region - Tororo
ABT STORAGE FACILITY - PMI VECTORLINK - T'RO,NDA/PRE/EXT/2414,External/Annex Store,\N,WORKS DEPARTMENT,NAGONGERA ROAD,NONE,Human,Tororo,Eastern Region - Tororo
ABT STORAGE FACILITY - PMI VECTORLINK- BUDAKA,NDA/PRE/EXT/2415,External/Annex Store,\N,DISTRICT,HEAD QUARTERS,NOT APPLICABLE,Human,Budaka,Eastern Region - Tororo
Evervictory Ltd,NDA/PRE/EXT/2433,External/Annex Store,\N,Plot 14/18,Hoima Rd,259,Veretinary,Kampala,Kampala Extra - Akamwesi
SUPER MEDIC LTD,NDA/PRE/EXT/2497,External/Annex Store,\N,PLOT 14 TWESE PLAZA,NAMUWONGO ROAD,478,Human,Kampala,Kampala Extra - Akamwesi
ABT STORAGE FACILITY - PMI VECTORLINK - P'SA,NDA/PRE/EXT/2579,External/Annex Store,\N,WORKS DEPARTMENT-DISTRICT HEAD QUARTERS,KASODO RD,N / A,Human,Pallisa,Eastern Region - Tororo
GITTOES PHARMACEUTICALS,NDA/PRE/EXT/2603,External/Annex Store,\N,RENE PLAZA,WILLIAM STREET,871,Human,Kampala,Kampala Extra - Akamwesi
C &A PHARMACEUTICALS LTD,NDA/PRE/EXT/2667,External/Annex Store,\N,UNIT G25,"BANDALI RISE, BUGOLOBI",317,Human,Kampala,Kampala Extra - Akamwesi
AIVEEN (U) LTD,NDA/PRE/EXT/3050,External/Annex Store,\N,Plot 14,BOMBO ROAD,328,Human,Kampala,Kampala Extra - Akamwesi
GITTOES PHARMACEUTICALS LTD,NDA/PRE/EXT/3078,External/Annex Store,\N,Plot 4 Main Street,WILLIAM STREET,871,Human,Kampala,Kampala Extra - Akamwesi
marco pharmaceuticals ltd,NDA/PRE/EXT/3095,External/Annex Store,\N,Mukwano Arcade CG.22,Ben Kiwanuka street,300,Human,Kampala,Kampala Extra - Akamwesi
BYAKUWAWO WHOLESALE PHARMACY,NDA/PRE/EXT/3108,External/Annex Store,\N,Plot 2A,SAZA ROAD,775,Human,Iganga,South Eastern Region - Jinja
MULTIPLE SUPER INVESTMENTS LIMITED,NDA/PRE/EXT/3205,External/Annex Store,\N,KISAKYAMARIA BUILDING,BOMBO ROAD,848,Human,Kampala,Kampala Extra - Akamwesi
PLANET PHARMACEUTICAL (U) LTD,NDA/PRE/EXT/3221,External/Annex Store,\N,PLOT 162 ZAKE ROAD MENGO,RUBAGA DIVISION,398,Human,Kampala,Kampala Extra - Akamwesi
KAKANYERO ENTERPRISES PHARMACEUTICALS LIMITED,NDA/PRE/EXT/3556,External/Annex Store,\N,PLOT 17,Lane,462,Human,Gulu,Northern Region - Lira
MAIN PHARMACEUTICALS (U) LIMITED,NDA/PRE/EXT/3557,External/Annex Store,\N,CUSTOMS,CUSTOMS ROAD - ARUBAINE 'A',1019,Human,Busia,Eastern Region - Tororo
ABT STORAGE F'LITY - PMI VECTOR LINK - B'JA,NDA/PRE/EXT/3977,External/Annex Store,\N,HEALTH CENTRE III,TOWN COUNCIL,2100,Human,Butaleja,Eastern Region - Tororo
PHARMAGEN UGANDA LIMITED,NDA/PRE/EXT/4149,External/Annex Store,\N,Natete Opp. Police Station,MASAKA ROAD,903,Human,Kampala,Kampala Extra - Akamwesi
MAKERERE UNIVERSITY / WALTER REED PROJECT LIM,NDA/PRE/EXT/4240,External/Annex Store,\N,Fort Portal Regional Referral Hospital JMEDICC ETU,Buhinga Road,810,Human,Fort Portal,Western Region - Hoima
AAFIYA (A) LTD,NDA/PRE/EXT/4753,External/Annex Store,\N,Plot 18,NAMIREMBE ROAD,899,Human,Kampala,Kampala Extra - Akamwesi
PHARMALIFT LTD,NDA/PRE/EXT/4770,External/Annex Store,\N,"PLOT 1620, BLOCK 206, MPERERWE",Arua park street,1311,Human,Kampala,Kampala Extra - Akamwesi
SKY PHARMACY LTD,NDA/PRE/EXT/4998,External/Annex Store,\N,PLOT 28 -,REPUBLIC STREET,254,Human,Mbale,Eastern Region - Tororo
MU PHARMA CO SMC LTD,NDA/PRE/EXT/5006,External/Annex Store,\N,EMKA HOUSE,BOMBO RD,1413,Human,Kampala,Kampala Extra - Akamwesi
Abacus Parenteral Drugs Ltd,NDA/PRE/EXT/5081,External/Annex Store,\N,"Plot 114, Block 191 - Gwawamya Kinga, Kapeke - Mukono",Kampala-Jinja Road,794,Human,Mukono,South Eastern Region - Jinja
NEW LIFE PHARMACY,NDA/PRE/EXT/5188,External/Annex Store,\N,PLOT NO. 09/11 -,MBALE ROAD,1440,Human,Tororo,Eastern Region - Tororo
STAR GOLD PHARMACY,NDA/PRE/EXT/5638,External/Annex Store,\N,PLOT 8,NORTH ROAD,1187,Human,Mbale,Eastern Region - Tororo
YAFFE PHARMACY LTD,NDA/PRE/EXT/5699,External/Annex Store,\N,KATIKAMU- NAKASEKE T/C,LUWUMU STREET,1451,Human,Kampala,Kampala Extra - Akamwesi
ROYAL PHARMA 2011 LIMITED,NDA/PRE/EXT/5801,External/Annex Store,\N,PLOT 19,KUMI ROAD,1284,Human,Mbale,Eastern Region - Tororo
ABACUS PHARMA A LTD,NDA/PRE/EXT/5806,External/Annex Store,\N,"PLOT 4, MBARARA CITY MALL",BUREMBA ROAD,533,Human,Mbarara,South Western Region - Mbarara
ABACUS PARENTERAL DRUGS LIMITED,NDA/PRE/EXT/6191,External/Annex Store,\N,PLOT 114 BLOCK 191,Wilson Road,794,Human,Kampala,Kampala Extra - Akamwesi
PLANET PHARMACEUTICALS UGANDA LTD,NDA/PRE/EXT/6393,External/Annex Store,\N,"Plot 8, Bhatia building",WILLIAM STREET,398,Human,Kampala,Kampala Extra - Akamwesi
UNITED HEALTHCARE DISTRIBUTORS LIMITED,NDA/PRE/EXT/6527,External/Annex Store,\N,"Plot 65 &66, Namanve",Industrial Area,310,Human,Mukono,South Eastern Region - Jinja
MIDAS CARE (U) LIMITED,NDA/PRE/EXT/6890,External/Annex Store,\N,"Plot 12, Bhatia Building",WILLIAM STREET,501,Human,Kampala,Kampala Extra - Akamwesi
REDDYS PHARMA LIMITED,NDA/PRE/EXT/7147,External/Annex Store,\N,"Plot 114/5, Kawempe","MATUGGA, BOMBO RD",640,Human,Wakiso,Kampala Extra - Akamwesi
ASTHA HEALTH CARE LIMITED,NDA/PRE/EXT/8539,External/Annex Store,\N,MAGANJO,MAGANJO,988,Human,Wakiso,Kampala Extra - Akamwesi
LIFE MEDICURE PHARMA-SMC LIMITED,NDA/PRE/EXT/8759,External/Annex Store,\N,PLOT 100,MAIN STREET,1023,Human,Iganga,South Eastern Region - Jinja
COZZAR PHARMACY LTD,NDA/PRE/EXT/9171,External/Annex Store,\N,"SHOP 2, KALUNGI PLAZA",WILLIAM STREET,742,Human,Kampala,Kampala Extra - Akamwesi
JOINT MEDICAL STORE (UPMB - UCMB),NDA/PRE/EXT/9453,External/Annex Store,\N,Plot 1828 Nsambya,,865,Human,Kampala,Kampala Extra - Akamwesi
AFIYA PHARMA &MEDICAL EQUIPMENT LIMITED,NDA/PRE/EXT/9486,External/Annex Store,\N,"PLOT 29D, LOWER KOLOLO TERRACE",SIR APOLLO KAGGWA RD,834,Human,Kampala,Kampala Extra - Akamwesi
MEDIKWICK PHARMA U LTD,NDA/PRE/EXT/9503,External/Annex Store,\N,"PRIME COMPLEX B-31, B-23, B-24",BOMBO RD,438,Human,Kampala,Kampala Extra - Akamwesi
MACKIE PHARMA LTD,NDA/PRE/EXT/9515,External/Annex Store,\N,AT FORMER KISEKENDE LODGE,MUBENDE- FORTPORTAL HIGHWAY,818,Human,Mubende,Western Region - Hoima
REDDY'S PHARMA LIMITED,NDA/PRE/EXT/9525,External/Annex Store,\N,"MATTUGA, WAREHOUSE GROUND FLOOR",BOMBO ROAD,640,Human,Wakiso,Kampala Extra - Akamwesi
MUNIR &SONS INVESTMENTS LIMITED,NDA/PRE/EXT/9568,External/Annex Store,\N,ABAYITA ABABIRI,ENTEBBE ROAD,751,Human,Wakiso,Kampala Extra - Akamwesi
SCOPEVET DEVELOPMENT STORE,NDA/PRE/EXT/9684,External/Annex Store,\N,PLOT NO 14/18 NAKIVUBO PLACE KAMPALA,NAKIVUBO STREET,1477,Veretinary,Kampala,Kampala Extra - Akamwesi
WHITE STAR PHAMA (U) LIMITED,NDA/PRE/EXT/9782,External/Annex Store,\N,SALAM BUILDING BASEMENT,MAIN STREET,296,Human,Jinja,South Eastern Region - Jinja
MARTIN HEALTH CARE (U) LIMITED,NDA/PRE/EXT/9960,External/Annex Store,\N,OPP. UGANDA RAILWAY,KAMPALA RD,247,Human,Kampala,Kampala Extra - Akamwesi
ST JUDE ELECRTICAL AND MEDICAL EQUIPMENT WORKSHOP LTD,NDA/PRE/MDV/1869,Surgical Instruments and Appliances Outlet,1000674921,"Next To Winners Chapel, Rubaga Rd",Rubaga Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
PRECISE DIAGNOSTIC &MEDICAL SUPPLIES LIMITED,NDA/PRE/MDV/1871,Surgical Instruments and Appliances Outlet,1000035546,"Plot 15, Lower Naguru East",Ntinda II Rd,4120120024,Human,Kampala,Kampala Extra - Akamwesi
ZAYO-SIGMA (ZSA) CHEMICALS LIMITED,NDA/PRE/MDV/1872,Surgical Instruments and Appliances Outlet,1000121486,PLOT 5 HANTEX INVESTMENT BUILDING,KINAWATAKA ROAD,4120120043,Human,Kampala,Kampala Extra - Akamwesi
BIOMEDICS PRODUCTS LTD,NDA/PRE/MDV/1874,Surgical Instruments and Appliances Outlet,\N,"Plot 229, off Weraga Rd",Weranga Rd,-,Human,Kampala,Kampala Extra - Akamwesi
AM SALES &SERVICES (A) LIMITED,NDA/PRE/MDV/1878,Surgical Instruments and Appliances Outlet,1001803994,"Ground Floor Rm 54 Mukwano Mall,",Kyagwe Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
PACIFIC DIAGNOSTIC LIMITED,NDA/PRE/MDV/1907,Surgical Instruments and Appliances Outlet,1000800289,Plot 37 UEDCL Tower,Nakasero Rd,4120120124,Human,Kampala,Kampala Extra - Akamwesi
YOGI LIMITED,NDA/PRE/MDV/1908,Surgical Instruments and Appliances Outlet,1000187781,Plot 10,Bombo Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
TRANSCELL BIOTECH SYSTEMS CO. LTD,NDA/PRE/MDV/1911,Surgical Instruments and Appliances Outlet,1000255391,PLOT 4265,LUWAFU ROAD,\N,Human,Kampala,Kampala Extra - Akamwesi
CHEM-LABS HEALTH CARE LIMITED,NDA/PRE/MDV/1912,Surgical Instruments and Appliances Outlet,1000066455,"Plot 24, Ganesh Plaza",Entebbe Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
LIFECARE DIAGNOSTICS LIMITED,NDA/PRE/MDV/1926,Surgical Instruments and Appliances Outlet,1000170773,"Plot 166A, Katabi Stage",Entebbe Rd,\N,Human,Wakiso,Kampala Extra - Akamwesi
TECHNOMED (UGANDA) LIMITED,NDA/PRE/MDV/1932,Surgical Instruments and Appliances Outlet,\N,"Plot 6, Nadiope Lane Mbuya",Off Ismail Road,4120120022,Human,Kampala,Kampala Extra - Akamwesi
MEDEQUIP UGANDA LIMITED,NDA/PRE/MDV/2098,Surgical Instruments and Appliances Outlet,\N,BLOCK 29 PLOT 1521,Mawanda Rd,4120120089,Human,Kampala,Kampala Extra - Akamwesi
HORSENS UGANDA LIMITED,NDA/PRE/MDV/2133,Surgical Instruments and Appliances Outlet,1008477618,"Plot 2890, Kyaliwajaala - Kira Rd",Kira Rd,\N,Human,Wakiso,Kampala Extra - Akamwesi
LABLINK INTERNATIONAL LIMITED,NDA/PRE/MDV/2198,Surgical Instruments and Appliances Outlet,1000504605,"PLOT 83, NTINDA","SEMAWATA ROAD,",\N,Human,Kampala,Kampala Extra - Akamwesi
AFRICA BIOSYSTEMS UGANDA LIMITED,NDA/PRE/MDV/2205,Surgical Instruments and Appliances Outlet,1006850514,"Plot 17/19, DTB Building",Kampala Road,17929,Human,Kampala,Kampala Extra - Akamwesi
HUMAN DIAGNOSTICS (UGANDA) LIMITED,NDA/PRE/MDV/2208,Surgical Instruments and Appliances Outlet,1000030209,"Plot 84, Tufnell Drive",Kamwokya Rd,13798,Human,Kampala,Kampala Extra - Akamwesi
MICRO-HAEM SCIENTIFICS AND MEDICAL SUPPLIES LIMITED,NDA/PRE/MDV/2209,Surgical Instruments and Appliances Outlet,1001410585,"PLOT 16 MARTYR'S WAY RD, NTINDA",MARTYRS WAY RD,56784,Human,Kampala,Kampala Extra - Akamwesi
Sino Africa Medical Devices Co. Ltd,NDA/PRE/MDV/2227,Surgical Instruments and Appliances Outlet,\N,"Plot 27-31, Luzira",2nd Ring Road,22566,Human,Kampala,Kampala Extra - Akamwesi
JANI'S BONE CARE CO LIMITED,NDA/PRE/MDV/2237,Surgical Instruments and Appliances Outlet,1000159806,"Bikka House, Suite 4, Opp. Bank of Baroda",Kamwokya,\N,Human,Kampala,Kampala Extra - Akamwesi
CIRCULAR SUPPLY (U) LIMITED,NDA/PRE/MDV/2241,Surgical Instruments and Appliances Outlet,1000111023,PLOT 76 SHOAL BUILDING,Bombo Road,4120120030,Human,Kampala,Kampala Extra - Akamwesi
ELITE CHEMICALS LIMITED,NDA/PRE/MDV/2264,Surgical Instruments and Appliances Outlet,1001832055,"Plot 80/82, Banda - Jinja Road",Jinja Road,79628,Human,Kampala,Kampala Extra - Akamwesi
HASS SCIENTIFIC AND MEDICAL SUPPLIES LIMITED,NDA/PRE/MDV/2294,Surgical Instruments and Appliances Outlet,1000031062,Plot 2236,Tank Hill Road Muyenga,MDV 20728,Human,Kampala,Kampala Extra - Akamwesi
LABORATORY NEEDS SOLUTION LIMITED,NDA/PRE/MDV/2300,Surgical Instruments and Appliances Outlet,1001145423,Plot 212 Old Kampala,Nsalo Road,4120120125,Human,Kampala,Kampala Extra - Akamwesi
LOBRAT INVESTMENTS LTD,NDA/PRE/MDV/2330,Surgical Instruments and Appliances Outlet,\N,"Plot 518, Block 208",Namugongo Rd,222062,Human,Wakiso,Kampala Extra - Akamwesi
MEDILINK LABS AND SURGICALS LTD,NDA/PRE/MDV/2355,Surgical Instruments and Appliances Outlet,1000459398,"Plot 1220, Block 224 Kisugu Kansanga",Ggaba Rodd,10029,Human,Kampala,Kampala Extra - Akamwesi
MULAGO HILL DIAGNOSTIC LTD,NDA/PRE/MDV/2374,Surgical Instruments and Appliances Outlet,1000126985,PLOT 92 BLOCK 29,MAWANDA ROAD,10000,Human,Kampala,Kampala Extra - Akamwesi
SURGIMED UGANDA LIMITED,NDA/PRE/MDV/2395,Surgical Instruments and Appliances Outlet,1007721139,PLOT NO. 26,Bombo Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
KAMPALA X-RAY SUPPLIERS LIMITED,NDA/PRE/MDV/2399,Surgical Instruments and Appliances Outlet,1000086680,"PLOT 2,SIMBAMANYO HOUSE,LUMUMBA AVENUE.",Lumumba Anenue,\N,Human,Kampala,Kampala Extra - Akamwesi
UGANDA MEDICAL EQUIPMENT AND DENTAL SUPPLIES LIMITED,NDA/PRE/MDV/2462,Surgical Instruments and Appliances Outlet,1004894497,Plot 4 Colline house,Pilkington Rd,K,Human,Kampala,Kampala Extra - Akamwesi
MERIDIAN TECH SYSTEMS,NDA/PRE/MDV/2469,Surgical Instruments and Appliances Outlet,1000402151,"SURE HOUSE ,SHOP LG5",BOMBO ROAD,\N,Human,Kampala,Kampala Extra - Akamwesi
ANGELO FOUNDATION MEDICAL SUPPLY LIMITED,NDA/PRE/MDV/2473,Surgical Instruments and Appliances Outlet,1008783006,KAGWA CLOSE,OFF KIREKA ROAD,217359,Human,Kampala,Kampala Extra - Akamwesi
UGAMER DIAGNOSTICS HOUSE LIMITED,NDA/PRE/MDV/2477,Surgical Instruments and Appliances Outlet,1003237409,"Plot 9A, Ministers Village",Martyrs Rd,\N,Human,Kampala,Kampala Extra - Akamwesi
KOBIAN SCIENTIFIC (UGANDA) LIMITED,NDA/PRE/MDV/2478,Surgical Instruments and Appliances Outlet,1000093159,"Plot 2490, YK Hamied Road","African Investment Building, Luzira",\N,Human,Kampala,Kampala Extra - Akamwesi
COMPUTECH UGANDA LIMITED,NDA/PRE/MDV/2512,Surgical Instruments and Appliances Outlet,1000030244,NTINDA COMPLEX BLOCK C ROOM F2-08,NTINDA,\N,Human,Kampala,Kampala Extra - Akamwesi
SCIENCE &BIOTECHNOLOGY SUPPORT SYSTEMS LIMITED,NDA/PRE/MDV/2513,Surgical Instruments and Appliances Outlet,\N,BUKASA,MUYENGA,14361,Human,Kampala,Kampala Extra - Akamwesi
CROWN MERCHANTILE LIMITED,NDA/PRE/MDV/2596,Surgical Instruments and Appliances Outlet,\N,NSAMBYA,HOSPITAL ROAD,49337,Human,Kampala,Kampala Extra - Akamwesi
KAATIS (U) LIMITED,NDA/PRE/MDV/2654,Surgical Instruments and Appliances Outlet,1000062164,"PLOT 2220, AQUA , COMPLEX BUILDING SUITE 15",COMPLEX BUILDING SUITE 15,\N,Human,Kampala,Kampala Extra - Akamwesi
SKAILAB SUPPLIES (EA) LIMITED,NDA/PRE/MDV/2724,Surgical Instruments and Appliances Outlet,1007554627,PLOT 318 SEPIRANZA NAKAMATTE HOUSE,"NABISASIRO,BUSEGA",\N,Human,Kampala,Kampala Extra - Akamwesi
MEDICAL INTEGRATION GROUP LIMITED,NDA/PRE/MDV/2755,Surgical Instruments and Appliances Outlet,\N,REGENCY APARTMENT KYOGA ROOM 2,LUGOGO BYPASS,MDV 11520,Human,Kampala,Kampala Extra - Akamwesi
MODERN DIAGNOSTICS (U) LTD,NDA/PRE/MDV/2826,Surgical Instruments and Appliances Outlet,1009340290,"PLOT 1357, BLOCK 729",KINAWATAKA ROAD,\N,Human,Wakiso,Kampala Extra - Akamwesi
E - DIAGNOSTIC CENTRE LIMITED,NDA/PRE/MDV/3006,Surgical Instruments and Appliances Outlet,\N,MENGO,BALINTUMA ROAD,5989,Human,Kampala,Kampala Extra - Akamwesi
MEDISELL - UG. LIMITED,NDA/PRE/MDV/3076,Surgical Instruments and Appliances Outlet,1000054259,"Block 122 Plot 560 Kyagwe, Degeya Estate",Degeya Estate,2866,Human,Mukono,South Eastern Region - Jinja
CHEMMART (U) LIMITED,NDA/PRE/MDV/3195,Surgical Instruments and Appliances Outlet,1009996155,PLOT 4-6 UPET HOUSE,BELL CLOSE LUZIRA,\N,Human,Kampala,Kampala Extra - Akamwesi
BIOMET LABORATORY SUPPLIES LIMITED,NDA/PRE/MDV/3210,Surgical Instruments and Appliances Outlet,1010132511,"JESCO PLAZA, SHOP NO. CE15",WILSON STREET,23496,Human,Kampala,Kampala Extra - Akamwesi
PHARMA SOURCING LTD,NDA/PRE/MDV/3233,Surgical Instruments and Appliances Outlet,\N,PLOT 6 SHOAL HOUSE,FIRST FLOOR BOMBO RD,. N/A,Human,Kampala,Kampala Extra - Akamwesi
S K V CENTRAL MED EA LIMITED,NDA/PRE/MDV/3268,Surgical Instruments and Appliances Outlet,\N,SUNSET ARCADE 2ND FLOOR RM14,WILSON RD,N/A,Human,Kampala,Kampala Extra - Akamwesi
DHS MEDICAL LOGISTICS LIMITED,NDA/PRE/MDV/3296,Surgical Instruments and Appliances Outlet,1012346299,"PLOT 36 BLOCK 266 SSEGUKU, SSEGUKU",ENTEBBE RD,\N,Human,Wakiso,Kampala Extra - Akamwesi
BIOMART EXPERTS LTD,NDA/PRE/MDV/3300,Surgical Instruments and Appliances Outlet,\N,PLOT 78 ARUA PARK PLAZA,BEN KIWANUKA STREET,n/a,Human,Kampala,Kampala Extra - Akamwesi
CRITICAL CARE SOLUTIONS LIMITED,NDA/PRE/MDV/3343,Surgical Instruments and Appliances Outlet,\N,"PLOT 3002, KISUGU",BUKASA RD,NOT APPLICABLE,Human,Kampala,Kampala Extra - Akamwesi
CITY DENTAL AND MEDICAL SUPPLIES LTD,NDA/PRE/MDV/3346,Surgical Instruments and Appliances Outlet,1002053940,PLOT 4 EMKA HOUSE,BOMBO ROAD,a,Human,Kampala,Kampala Extra - Akamwesi
PUBMED DIAGNOSTIC AND MEDICAL SUPPLIES LIMITED,NDA/PRE/MDV/3347,Surgical Instruments and Appliances Outlet,1009835860,"TITANIC PLAZA ROOM TD 06, JOHNSON STREET, KAMPALA - CENTRAL DIVISION",JOHNSON STREET,\N,Human,Kampala,Kampala Extra - Akamwesi
SUJUZI UGANDA LIMITED,NDA/PRE/MDV/3356,Surgical Instruments and Appliances Outlet,1000060956,PLOT 2329,OLD PORT BELL RD,\N,Human,Kampala,Kampala Extra - Akamwesi
DENTEK SERVICES AND SUPPLIES LIMITED,NDA/PRE/MDV/3382,Surgical Instruments and Appliances Outlet,1008838296,"OPP YMCA WANDEGEYA, SILVA ARCADE ROOM 12",OPP YMCA WANDEGEYA BOMBO RD,14790,Human,Kampala,Kampala Extra - Akamwesi
GENOME SCIENTIFICS LIMITED,NDA/PRE/MDV/3385,Surgical Instruments and Appliances Outlet,1012920315,PLOT 20 FIRST FLOOR,NTINDA VIEW CRESCENT,\N,Human,Kampala,Kampala Extra - Akamwesi
ADVANCED MEDICAL SOLUTIONS LIMITED,NDA/PRE/MDV/3387,Surgical Instruments and Appliances Outlet,\N,PLOT 617 BOGERE ESTATE MENGO BLOCK 4,OFF RUBAGA ROAD,MDV 26215,Human,Kampala,Central Regional Office - Masaka
