Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
KEZIYA PHARMACEUTICAL (U) LTD,NDA/PRE/RTP/5790,Retail Pharmacy,\N,BUZIBWERA,TRADING CENTRE,1913,Human,Mbarara,South Western Region - Mbarara
DASYL PHARMACY (U) LIMITED,NDA/PRE/RTP/5800,Retail Pharmacy,\N,RUBAGA,KABUUSU,520,Veretinary,Kampala,Kampala Extra - Akamwesi
WELCOME PHARMACY (U) LTD,NDA/PRE/RTP/5802,Retail Pharmacy,\N,PLOT NO. 07/09,MBALE HIGHWAY,1473,Human,Budaka,Eastern Region - Tororo
KSTEP PHARMACY LIMITED,NDA/PRE/RTP/5807,Retail Pharmacy,1017389143,"Kira Municipality, opposite Burabira house, off Bulabira road, Najjera 2, Wakiso District",Opposite Burabira house- off Bulabira road,505,Human,Wakiso,Kampala Extra - Akamwesi
WATU PHARMACIA (U) LIMITED,NDA/PRE/RTP/5818,Retail Pharmacy,\N,WAKISO,TRADING CENTRE,1504,Human,Wakiso,Kampala Extra - Akamwesi
DELIGHT PHARMACY &DIAGNOSTICS LTD,NDA/PRE/RTP/5839,Retail Pharmacy,\N,"Kiti, Plot 325, Block 99, Kasangati T/C",Sekate Isaac Bld'g,1668,Human,Wakiso,Kampala Extra - Akamwesi
BERY HEALTH LINK LTD,NDA/PRE/RTP/5843,Retail Pharmacy,\N,"PLOT 1430 BLOCK 196 WALIGO ROAD, KANYANYA-KOMAMBOGA",WALIGO RD,227,Human,Kampala,Kampala Extra - Akamwesi
COMPLETE PHARMACY LIMITED,NDA/PRE/RTP/5845,Retail Pharmacy,\N,"LUTEETE, NEXT TO FREMA PHYSIOTHERAPY CLINIC",MASOOLI RD,1852,Human,Wakiso,Kampala Extra - Akamwesi
SANYU ENDEAVOURS LTD,NDA/PRE/RTP/5854,Retail Pharmacy,\N,Ganda - Nasere,"Nansana, kyebando rd",1219,Human,Wakiso,Kampala Extra - Akamwesi
DRUSAH INVESTMENT LTD,NDA/PRE/RTP/5861,Retail Pharmacy,\N,NAMERE TRADING CENTRE,KITEZI ROAD,1044,Human,Wakiso,Kampala Extra - Akamwesi
BAGEYA PHARMACIES,NDA/PRE/RTP/5865,Retail Pharmacy,\N,"Nantabulirwa, Mukono",Kiwanga-SSonde,1506,Human,Mukono,South Eastern Region - Jinja
Al Hayat Pharmacy Limited,NDA/PRE/RTP/5873,Retail Pharmacy,\N,"Plot 03,BK Plaza,Lugazi Municipality",Kampala - Jinja Highway,1524,Human,Buikwe,South Eastern Region - Jinja
Toruk Investments Ltd,NDA/PRE/RTP/5880,Retail Pharmacy,\N,Misindye Tc,Bukerere Road,751,Human,Mukono,South Eastern Region - Jinja
IMAALA R.K VENTURES LIMITED,NDA/PRE/RTP/5886,Retail Pharmacy,\N,"KAVULE, NEAR KYAMBIZI SIGNPOST",SEMUTO ROAD,1336,Human,Wakiso,Kampala Extra - Akamwesi
YOUR CLINIC PHARMACY LTD,NDA/PRE/RTP/5889,Retail Pharmacy,\N,"INSIDE YOUR CLINIC, OPP. KALITA BUS PARK",MWANGA II RD,1899,Human,Kampala,Kampala Extra - Akamwesi
DANIELLA PHARMACY LTD,NDA/PRE/RTP/5913,Retail Pharmacy,1017475176,"NAGURU GO-DOWN , NEXT TO THE MARKET , SUWARA ROAD",SUWARA ROAD,2029,Human,Kampala,Kampala Extra - Akamwesi
MEDET HOLDINGS LIMITED,NDA/PRE/RTP/5919,Retail Pharmacy,\N,NEXT TO ROMITA HOTEL,KIWOLOGOMA,1502,Human,Wakiso,Kampala Extra - Akamwesi
NABINGOOLA FAREWELL PHARMACY LTD,NDA/PRE/RTP/5932,Retail Pharmacy,1017599878,"Nabingoola T/C, Kasambya Road",KASAMBYA RD,2307,Human,Mubende,Western Region - Hoima
ABSOLUTE CARE PHARMACY LIMITED,NDA/PRE/RTP/5939,Retail Pharmacy,\N,"PLOT 15, OPP KAKUNGULU MEMORIAL SCHOOL, KIBULI",PRINCE BADRU KAKUNGULU,330,Human,Kampala,Kampala Extra - Akamwesi
PHARIS PHARMACY LTD,NDA/PRE/RTP/5943,Retail Pharmacy,\N,"NYENDO, OPP. PETRO PETROL STATION",ALONG CATHEDRAL RD,994,Human,Masaka,Central Regional Office - Masaka
Jovoca pharmaceuticals,NDA/PRE/RTP/5947,Retail Pharmacy,\N,Katete police post,Mbarara katete road,1264,Human,Mbarara,South Western Region - Mbarara
ALHIFZ HOLDINGS LTD,NDA/PRE/RTP/5966,Retail Pharmacy,\N,"KINONI, BUKOTO",ALONG MASAKA-MBARARA RD,1120,Human,Lwengo,Central Regional Office - Masaka
SOLMAR PHARMACEUTICALS ENTERPRISES LTD,NDA/PRE/RTP/5975,Retail Pharmacy,1017339835,Bananuka drive,"plot 17, bananuka drive(this is the street",2043,Human,Mbarara,South Western Region - Mbarara
BOGRAZA CARE LIMITED,NDA/PRE/RTP/5978,Retail Pharmacy,\N,"SITABALE T/C, KAYONGO ABBSI BUILDING",KIWENDA-GLUDDENE RD,1604,Human,Wakiso,Kampala Extra - Akamwesi
Mpanga Agrovet Uganda Ltd,NDA/PRE/RTP/5986,Retail Pharmacy,\N,Plot 9,Balya Road,1681,Veretinary,Kabarole,Western Region - Hoima
TORAM PHARMACEUTICALS-SMC LTD,NDA/PRE/RTP/5994,Retail Pharmacy,1017576881,"Ntake building ,Rwebikoona",Mbarara-Fortportal Highway,1617,Human,Mbarara,South Western Region - Mbarara
BLIDA PHARMACY UGANDA LIMITED,NDA/PRE/RTP/5999,Retail Pharmacy,\N,Rotary stage,Kampala Rd,1570,Human,Hoima,Western Region - Hoima
AIDAN PHARMACY (U) LTD,NDA/PRE/RTP/6007,Retail Pharmacy,\N,KYENGERA TOWN COUNCIL,MASAKA RD,1664,Human,Wakiso,Kampala Extra - Akamwesi
AMURIA PHARMA LTD,NDA/PRE/RTP/6008,Retail Pharmacy,\N,PLOT 14 -,ASAMUK ROAD,1647,Human,Amuria,North Eastern Region - Soroti
LATOPIA UGANDA LIMITED,NDA/PRE/RTP/6019,Retail Pharmacy,1017534598,NAJJERA,ALONG BULABIRA RD,1301,Human,Wakiso,Kampala Extra - Akamwesi
LISTA PHARMACY,NDA/PRE/RTP/6029,Retail Pharmacy,\N,"ZANTA, NDEJJE","HAJJI SIKYOMU MUHAMMAD, NDEJJE RD",473,Human,Wakiso,Kampala Extra - Akamwesi
FLOCHARD PHARMACY LIMITED,NDA/PRE/RTP/6030,Retail Pharmacy,1017165332,"NKUMBA STAGE, ENTEBBE - BUBULI ROAD",BUBULI ROAD,1660,Human,Wakiso,Kampala Extra - Akamwesi
MOTHER LUKAYA PHARMACY LIMITED,NDA/PRE/RTP/6050,Retail Pharmacy,1017671413,"SHELL LUKAYA, KITI ROAD MASAKA","SHELL LUKAYA, KITI ROAD MASAKA",1562,Human,Kalungu,Central Regional Office - Masaka
CHRISTEN PHARMACEUTICALS LIMITED,NDA/PRE/RTP/6056,Retail Pharmacy,\N,KASANA T/C (ON THE BUILDING WITH INNOLAND LODGE),"KASANA, GULU HIGHWAY",1986,Human,Luweero,Kampala Extra - Akamwesi
ASOBOLA PHARMACY (U) LTD,NDA/PRE/RTP/6059,Retail Pharmacy,\N,NEXT TO MTN SERVICE CENTRE BUSUNJU TOWN COUNCIL,ALONG KAMPALA - HOIMA RD,1600,Human,Mityana,Western Region - Hoima
HAVILLAH PHARMACY,NDA/PRE/RTP/6061,Retail Pharmacy,1034283602,KASANA,KASIISO RD,1316,Human,Luweero,Kampala Extra - Akamwesi
LOS ANGEL MEDICAL PHARMACY LTD,NDA/PRE/RTP/6080,Retail Pharmacy,1017601780,Maracha Town Council,Plot 28 Otafire Road,2283,Human,Maracha,West Nile Region - Arua
AKARD PHARMACY LTD,NDA/PRE/RTP/6107,Retail Pharmacy,\N,"Mwami Kabugo's Building, Katabi Town Council",Along Katabi Bussambaga,609,Human,Wakiso,Kampala Extra - Akamwesi
Lark Uganda Ltd,NDA/PRE/RTP/6108,Retail Pharmacy,\N,Gganda,Gganda Road,1613,Human,Wakiso,Kampala Extra - Akamwesi
ALPHA MEDICA PHARMACEUTICALS 2012 LIMITED,NDA/PRE/RTP/6114,Retail Pharmacy,1002673853,Plot 23 Coronation Road,Coronation Road,1534,Human,Gulu,Northern Region - Lira
